SquareFootage,Bedrooms,Bathrooms,Price
3974,3,1,686407
1660,3,1,311056
2094,1,3,370616
1930,5,2,401042
1895,1,1,320927
3892,3,2,692881
2438,2,3,458269
2969,4,3,573672
1266,3,3,293965
2038,1,1,338624
1130,4,2,282056
2282,1,2,399262
2935,1,2,498545
3971,2,3,674457
3719,4,1,659282
930,4,3,262249
2485,2,3,464006
1569,3,2,342430
3191,1,3,524974
2315,5,2,482981
3653,1,1,598859
3233,1,2,538753
2015,3,1,377120
1755,1,2,327828
3124,2,3,540188
1984,2,3,400669
1259,4,1,290640
821,5,1,243439
3100,1,1,508178
1547,1,2,290760
3704,3,2,641085
1274,2,1,246752
1882,5,3,412048
3358,4,2,614933
2847,2,2,486485
3547,4,2,625759
1775,3,1,351605
2606,3,1,459016
989,1,1,188820
3805,5,1,705048
3534,4,1,619783
3805,2,3,636254
1362,3,3,323282
2699,1,1,454149
2067,1,2,368066
3679,4,1,650810
2328,3,3,467791
1446,5,3,359212
2868,3,2,537997
3688,4,3,660305
3014,4,1,563495
2097,3,2,407250
3235,4,1,594870
1400,3,1,302678
3163,2,2,545009
2861,3,1,511659
1041,3,3,269010
2841,4,1,512153
3624,4,2,655332
3412,1,2,567626
3745,1,2,622104
2163,2,1,373293
2939,1,2,477040
2190,3,2,416140
3803,4,1,683863
2278,1,3,390030
3356,1,1,537487
1575,2,2,310754
834,2,2,182214
3053,3,1,526273
3952,4,3,731921
2755,2,2,474225
2385,1,2,398773
3873,4,2,692397
1821,4,1,373083
3413,1,2,565909
1929,2,3,355017
2300,1,2,404703
1502,4,2,324637
3249,5,3,648837
3577,5,2,665679
2379,3,1,443771
961,1,1,192457
1001,1,1,192505
2781,3,3,539882
1795,3,2,344085
3117,3,1,542709
1615,4,3,386060
1255,1,2,256338
2075,4,3,429466
1816,3,1,362947
3143,1,1,517921
3567,4,1,627358
1137,4,3,303082
1678,3,3,371049
1876,1,1,302113
1591,3,3,328454
3064,1,1,484736
1563,5,1,329459
3035,2,2,524505
1179,2,3,265643
1292,2,1,258348
3912,3,1,679692
1980,5,3,423015
2862,1,2,487012
864,4,2,254561
3368,1,1,528615
2167,4,3,453883
1952,1,2,326958
2827,5,3,569359
3495,4,3,636220
2295,3,1,406188
3934,1,2,641268
1962,1,1,329684
2322,4,2,456317
3440,3,2,596344
1191,3,2,257352
2498,5,2,485084
1218,3,2,253104
3136,3,3,584589
1178,3,1,244463
2596,2,3,472784
3078,5,2,604306
3865,1,1,604610
2888,4,2,561957
3899,1,1,614956
2982,5,3,595874
1000,4,1,248524
2663,5,1,498086
1579,3,1,302766
3777,4,1,646359
3904,3,1,672801
3919,1,2,631306
1302,1,1,249065
3254,4,1,597916
2551,4,3,504750
1604,5,1,357549
2946,5,3,571444
3531,3,2,637394
2695,4,1,505907
3573,1,3,617137
2370,5,3,487739
1760,5,2,388489
3460,1,1,562538
2285,5,1,469799
3490,3,3,645631
1828,4,1,357627
1302,1,3,264585
3614,4,1,654726
1197,5,3,327478
1670,5,1,364698
3642,1,2,596058
1192,3,1,249054
1006,2,1,187152
1838,1,2,345464
2681,2,1,449323
3739,2,2,648291
2284,3,1,424298
1663,2,3,330231
3590,2,3,616551
1363,3,1,299099
1820,2,1,314949
895,2,1,177267
2723,2,3,480391
2557,1,1,424484
3332,1,3,568186
3078,1,2,501909
3596,3,3,642115
2478,5,3,525620
1340,2,2,282703
1859,2,3,348487
3372,3,1,565654
1983,2,1,370110
2522,1,3,463111
3957,5,1,708406
2619,4,3,519683
3425,2,1,568713
3529,1,1,581282
3404,4,3,642769
2397,5,1,462491
3860,4,3,698388
3493,1,1,544519
1595,4,1,318550
1851,3,2,386687
2443,4,2,493036
2163,2,3,401465
2781,2,2,473404
2154,3,3,425244
2463,1,2,423664
2329,2,1,399533
2838,5,3,556938
2296,2,3,415490
3037,2,1,502187
2208,1,3,398615
2200,4,3,459071
2106,2,2,384171
3480,3,3,643034
3475,4,1,629684
1772,5,2,379988
2568,1,2,425361
